Node,P,Q,R,X,candidate_PV,candidate_wd,candidate_CB
1,0,0,,,0,0,0
2,230000,142500,0.117,0.048,0,0,0
3,0,0,0.10725,0.044,0,0,0
4,230000,142500,0.16445,0.04565,0,0,0
5,230000,142500,0.1495,0.0415,0,0,0
6,0,0,0.1495,0.0415,0,0,0
7,0,0,0.3144,0.054,0,0,0
8,230000,142500,0.2096,0.036,0,0,0
9,230000,142500,0.3144,0.054,0,0,0
10,0,0,0.2096,0.036,0,0,0
11,230000,142500,0.131,0.0225,1,0,1
12,137000,84000,0.1048,0.018,1,0,1
13,72000,45000,0.1572,0.027,0,1,1
14,72000,45000,0.2096,0.036,0,1,1
15,72000,45000,0.1048,0.018,0,1,1
16,13500,7500,0.0524,0.009,0,1,1
17,230000,142500,0.1794,0.0498,0,0,0
18,230000,142500,0.16445,0.04565,0,0,0
19,230000,142500,0.2079,0.0473,0,0,0
20,230000,142500,0.189,0.043,0,0,0
21,230000,142500,0.189,0.043,0,1,1
22,230000,142500,0.262,0.045,0,1,1
23,230000,142500,0.262,0.045,0,1,1
24,230000,142500,0.3144,0.054,1,1,1
25,230000,142500,0.2096,0.036,1,1,1
26,230000,142500,0.131,0.0225,1,1,1
27,137000,84000,0.1048,0.018,1,1,1
28,75000,48000,0.1572,0.027,0,0,0
29,75000,48000,0.1572,0.027,0,0,0
30,75000,48000,0.1572,0.027,0,0,0
31,57000,34500,0.1572,0.027,1,0,1
32,57000,34500,0.2096,0.036,1,0,1
33,57000,34500,0.1572,0.027,1,0,1
34,57000,34500,0.1048,0.018,1,0,1
